property;value
forearmRight;0.319704
shoulder;0.252601
upperBody;0.260784
hip;0.111862
lowerBody;0.364658
body;0.625389
lowerLegLeft;0.352497
upperLegLeft;0.478568
upperLegRight;0.489071
lowerLegRight;0.431661
forearmLeft;0.303768
upperarmLeft;0.32934
shoulderHalfLeft;0.128465
neck;0.0834046
shoulderHalfRight;0.193003
upperarmRight;0.2543
forearmRight;0.320102
shoulder;0.252675
upperBody;0.260776
hip;0.11199
lowerBody;0.36462
body;0.625345
lowerLegLeft;0.352962
upperLegLeft;0.478111
upperLegRight;0.489143
lowerLegRight;0.431682
forearmLeft;0.303783
upperarmLeft;0.329377
shoulderHalfLeft;0.128642
neck;0.0834091
shoulderHalfRight;0.192398
upperarmRight;0.254154
forearmRight;0.320279
shoulder;0.252896
upperBody;0.260779
hip;0.112262
lowerBody;0.36463
body;0.625359
lowerLegLeft;0.354719
upperLegLeft;0.478216
upperLegRight;0.489028
lowerLegRight;0.433301
forearmLeft;0.303922
upperarmLeft;0.329366
shoulderHalfLeft;0.128606
neck;0.0833898
shoulderHalfRight;0.192637
upperarmRight;0.254185
forearmRight;0.32075
shoulder;0.253098
upperBody;0.260748
hip;0.112241
lowerBody;0.364613
body;0.625313
lowerLegLeft;0.400247
upperLegLeft;0.478735
upperLegRight;0.488841
lowerLegRight;0.476987
forearmLeft;0.303528
upperarmLeft;0.329408
shoulderHalfLeft;0.128546
neck;0.0833712
shoulderHalfRight;0.192748
upperarmRight;0.254177
forearmRight;0.321026
shoulder;0.253153
upperBody;0.260724
hip;0.112255
lowerBody;0.364568
body;0.625244
lowerLegLeft;0.382837
upperLegLeft;0.478096
upperLegRight;0.4888
lowerLegRight;0.459398
forearmLeft;0.303384
upperarmLeft;0.329418
shoulderHalfLeft;0.128521
neck;0.0833717
shoulderHalfRight;0.192793
upperarmRight;0.254193
forearmRight;0.321978
shoulder;0.253104
upperBody;0.260727
hip;0.112239
lowerBody;0.364584
body;0.625263
lowerLegLeft;0.376146
upperLegLeft;0.478666
upperLegRight;0.488643
lowerLegRight;0.453652
forearmLeft;0.303199
upperarmLeft;0.329502
shoulderHalfLeft;0.128448
neck;0.0833448
shoulderHalfRight;0.19305
upperarmRight;0.254396
forearmRight;0.321752
shoulder;0.253253
upperBody;0.260679
hip;0.112277
lowerBody;0.364579
body;0.625211
lowerLegLeft;0.366148
upperLegLeft;0.478254
upperLegRight;0.488539
lowerLegRight;0.444473
forearmLeft;0.303572
upperarmLeft;0.3295
shoulderHalfLeft;0.128328
neck;0.0833163
shoulderHalfRight;0.193209
upperarmRight;0.254366
forearmRight;0.321651
shoulder;0.253296
upperBody;0.260624
hip;0.112283
lowerBody;0.364539
body;0.625116
lowerLegLeft;0.363272
upperLegLeft;0.477973
upperLegRight;0.488596
lowerLegRight;0.441899
forearmLeft;0.303397
upperarmLeft;0.329552
shoulderHalfLeft;0.12826
neck;0.0833166
shoulderHalfRight;0.193333
upperarmRight;0.254305
forearmRight;0.321595
shoulder;0.253379
upperBody;0.260629
hip;0.112235
lowerBody;0.364552
body;0.625135
lowerLegLeft;0.402771
upperLegLeft;0.478097
upperLegRight;0.488738
lowerLegRight;0.477967
forearmLeft;0.303634
upperarmLeft;0.329537
shoulderHalfLeft;0.12811
neck;0.0832872
shoulderHalfRight;0.193002
upperarmRight;0.25411
forearmRight;0.321719
shoulder;0.252776
upperBody;0.26055
hip;0.112306
lowerBody;0.364507
body;0.625011
lowerLegLeft;0.403749
upperLegLeft;0.477903
upperLegRight;0.488761
lowerLegRight;0.478717
forearmLeft;0.303779
upperarmLeft;0.329548
shoulderHalfLeft;0.128073
neck;0.0832836
shoulderHalfRight;0.193126
upperarmRight;0.254084
forearmRight;0.308367
shoulder;0.252952
upperBody;0.260539
hip;0.112261
lowerBody;0.364485
body;0.624978
lowerLegLeft;0.377229
upperLegLeft;0.477757
upperLegRight;0.488783
lowerLegRight;0.453634
forearmLeft;0.30379
upperarmLeft;0.329574
shoulderHalfLeft;0.128
neck;0.0832599
shoulderHalfRight;0.193273
upperarmRight;0.253742
forearmRight;0.303158
shoulder;0.253079
upperBody;0.26049
hip;0.112273
lowerBody;0.364445
body;0.624889
lowerLegLeft;0.369104
upperLegLeft;0.477313
upperLegRight;0.488682
lowerLegRight;0.446549
forearmLeft;0.303618
upperarmLeft;0.329588
shoulderHalfLeft;0.127836
neck;0.0831968
shoulderHalfRight;0.192862
upperarmRight;0.25376
forearmRight;0.30832
shoulder;0.253106
upperBody;0.260322
hip;0.112142
lowerBody;0.364314
body;0.624589
lowerLegLeft;0.366545
upperLegLeft;0.477193
upperLegRight;0.488699
lowerLegRight;0.44425
forearmLeft;0.303643
upperarmLeft;0.329599
shoulderHalfLeft;0.127853
neck;0.0832058
shoulderHalfRight;0.192874
upperarmRight;0.25387
forearmRight;0.312524
shoulder;0.25312
upperBody;0.260332
hip;0.112157
lowerBody;0.364315
body;0.624601
lowerLegLeft;0.366266
upperLegLeft;0.477096
upperLegRight;0.488628
lowerLegRight;0.443986
forearmLeft;0.30392
upperarmLeft;0.329615
shoulderHalfLeft;0.127837
neck;0.083209
shoulderHalfRight;0.192963
upperarmRight;0.254004
forearmRight;0.314976
shoulder;0.253126
upperBody;0.260331
hip;0.112178
lowerBody;0.364336
body;0.62462
lowerLegLeft;0.365777
upperLegLeft;0.477431
upperLegRight;0.487931
lowerLegRight;0.444413
forearmLeft;0.303935
upperarmLeft;0.329637
shoulderHalfLeft;0.127777
neck;0.0832006
shoulderHalfRight;0.193097
upperarmRight;0.253992
forearmRight;0.309492
shoulder;0.253127
upperBody;0.260307
hip;0.112192
lowerBody;0.364308
body;0.62457
lowerLegLeft;0.365623
upperLegLeft;0.47744
upperLegRight;0.488158
lowerLegRight;0.444128
forearmLeft;0.303776
upperarmLeft;0.329675
shoulderHalfLeft;0.127791
neck;0.0831959
shoulderHalfRight;0.193205
upperarmRight;0.254068
forearmRight;0.312612
shoulder;0.253237
upperBody;0.260296
hip;0.112159
lowerBody;0.364287
body;0.624537
lowerLegLeft;0.406656
upperLegLeft;0.477153
upperLegRight;0.488161
lowerLegRight;0.480558
forearmLeft;0.303552
upperarmLeft;0.329717
shoulderHalfLeft;0.127796
neck;0.0831989
shoulderHalfRight;0.192864
upperarmRight;0.253902
forearmRight;0.314702
shoulder;0.252671
upperBody;0.260298
hip;0.112173
lowerBody;0.364283
body;0.624536
lowerLegLeft;0.364474
upperLegLeft;0.4779
upperLegRight;0.48835
lowerLegRight;0.442999
forearmLeft;0.303463
upperarmLeft;0.32975
shoulderHalfLeft;0.127772
neck;0.0832077
shoulderHalfRight;0.192931
upperarmRight;0.254008
forearmRight;0.315888
shoulder;0.252701
upperBody;0.260308
hip;0.112144
lowerBody;0.36428
body;0.624543
lowerLegLeft;0.411767
upperLegLeft;0.477801
upperLegRight;0.48828
lowerLegRight;0.486857
forearmLeft;0.303295
upperarmLeft;0.329801
shoulderHalfLeft;0.127761
neck;0.0832027
shoulderHalfRight;0.192583
upperarmRight;0.254134
forearmRight;0.309407
shoulder;0.252135
upperBody;0.260293
hip;0.112203
lowerBody;0.364246
body;0.624493
lowerLegLeft;0.355487
upperLegLeft;0.477788
upperLegRight;0.488272
lowerLegRight;0.436791
forearmLeft;0.303284
upperarmLeft;0.32985
shoulderHalfLeft;0.127747
neck;0.0831984
shoulderHalfRight;0.192718
upperarmRight;0.254031
forearmRight;0.306513
shoulder;0.252315
upperBody;0.260276
hip;0.112222
lowerBody;0.36423
body;0.624461
lowerLegLeft;0.409281
upperLegLeft;0.476566
upperLegRight;0.488384
lowerLegRight;0.483242
forearmLeft;0.303236
upperarmLeft;0.329885
shoulderHalfLeft;0.127956
neck;0.083262
shoulderHalfRight;0.192917
upperarmRight;0.254045
forearmRight;0.303229
shoulder;0.252372
upperBody;0.260398
hip;0.112108
lowerBody;0.364282
body;0.624638
lowerLegLeft;0.360098
upperLegLeft;0.476682
upperLegRight;0.488319
lowerLegRight;0.437985
forearmLeft;0.303204
upperarmLeft;0.329913
shoulderHalfLeft;0.128001
neck;0.0832705
shoulderHalfRight;0.19323
upperarmRight;0.253984
forearmRight;0.302773
shoulder;0.252554
upperBody;0.260409
hip;0.112087
lowerBody;0.364282
body;0.624649
lowerLegLeft;0.359635
upperLegLeft;0.476692
upperLegRight;0.489705
lowerLegRight;0.43646
forearmLeft;0.302992
upperarmLeft;0.329955
shoulderHalfLeft;0.128042
neck;0.0832876
shoulderHalfRight;0.192999
upperarmRight;0.254044
forearmRight;0.309766
shoulder;0.252129
upperBody;0.26044
hip;0.112082
lowerBody;0.364306
body;0.624704
lowerLegLeft;0.36058
upperLegLeft;0.476682
upperLegRight;0.490498
lowerLegRight;0.436618
forearmLeft;0.302882
upperarmLeft;0.329994
shoulderHalfLeft;0.128078
neck;0.0833037
shoulderHalfRight;0.193206
upperarmRight;0.253955
forearmRight;0.30293
shoulder;0.252323
upperBody;0.260468
hip;0.112077
lowerBody;0.364324
body;0.624751
lowerLegLeft;0.360228
upperLegLeft;0.47665
upperLegRight;0.49049
lowerLegRight;0.436484
forearmLeft;0.302819
upperarmLeft;0.330028
shoulderHalfLeft;0.128105
neck;0.0833087
shoulderHalfRight;0.193361
upperarmRight;0.25416
forearmRight;0.308127
shoulder;0.252384
upperBody;0.260472
hip;0.112013
lowerBody;0.364329
body;0.62476
lowerLegLeft;0.411263
upperLegLeft;0.476942
upperLegRight;0.49054
lowerLegRight;0.482161
forearmLeft;0.302706
upperarmLeft;0.330073
shoulderHalfLeft;0.128167
neck;0.0833265
shoulderHalfRight;0.19341
upperarmRight;0.254161
forearmRight;0.311523
shoulder;0.252405
upperBody;0.260502
hip;0.112026
lowerBody;0.364354
body;0.624816
lowerLegLeft;0.362216
upperLegLeft;0.476853
upperLegRight;0.490038
lowerLegRight;0.437871
forearmLeft;0.302586
upperarmLeft;0.33011
shoulderHalfLeft;0.12818
neck;0.0833259
shoulderHalfRight;0.193422
upperarmRight;0.254164
forearmRight;0.31409
shoulder;0.252454
upperBody;0.260503
hip;0.112031
lowerBody;0.364349
body;0.624812
lowerLegLeft;0.361864
upperLegLeft;0.476906
upperLegRight;0.490012
lowerLegRight;0.437919
forearmLeft;0.302718
upperarmLeft;0.33013
shoulderHalfLeft;0.12822
neck;0.0833272
shoulderHalfRight;0.193428
upperarmRight;0.254272
forearmRight;0.316092
shoulder;0.252478
upperBody;0.260513
hip;0.112008
lowerBody;0.364376
body;0.624849
lowerLegLeft;0.398919
upperLegLeft;0.476874
upperLegRight;0.490121
lowerLegRight;0.472618
forearmLeft;0.302524
upperarmLeft;0.330178
shoulderHalfLeft;0.128367
neck;0.0834021
shoulderHalfRight;0.193174
upperarmRight;0.254467
forearmRight;0.316641
shoulder;0.251695
upperBody;0.260654
hip;0.112115
lowerBody;0.364495
body;0.625109
lowerLegLeft;0.359718
upperLegLeft;0.475855
upperLegRight;0.489919
lowerLegRight;0.4385
forearmLeft;0.302679
upperarmLeft;0.3302
shoulderHalfLeft;0.128394
neck;0.0834094
shoulderHalfRight;0.193165
upperarmRight;0.254417
forearmRight;0.317377
shoulder;0.251703
upperBody;0.260666
hip;0.112106
lowerBody;0.364524
body;0.625151
lowerLegLeft;0.361963
upperLegLeft;0.476014
upperLegRight;0.490775
lowerLegRight;0.438851
forearmLeft;0.302422
upperarmLeft;0.330244
shoulderHalfLeft;0.128503
neck;0.0834459
shoulderHalfRight;0.19295
upperarmRight;0.254537
forearmRight;0.30283
shoulder;0.251231
upperBody;0.260747
hip;0.112128
lowerBody;0.364559
body;0.625268
lowerLegLeft;0.405842
upperLegLeft;0.475707
upperLegRight;0.490711
lowerLegRight;0.476892
forearmLeft;0.302509
upperarmLeft;0.33028
shoulderHalfLeft;0.128574
neck;0.0834626
